timestamp,x,y,z
1386680904987958172,-1.3543701,7.402466,5.7516327
1386680904992749432,-1.3638916,7.42865,5.6659393
1386680904997754315,-1.3269958,7.447693,5.536209
1386680905002820233,-1.3686523,7.442932,5.626663
1386680905007825115,-1.3186646,7.448883,5.502884
1386680905012860516,-1.3388977,7.4072266,5.5850067
1386680905017926434,-1.4186401,7.4714966,5.54335
1386680905022931317,-1.3710327,7.525055,5.460037
1386680905027966717,-1.3210449,7.4512634,5.3791046
1386680905033002117,-1.3329468,7.4524536,5.329117
1386680905038037518,-1.2627258,7.422699,5.355301
1386680905043072918,-1.2853394,7.4131775,5.382675
1386680905048169354,-1.2341614,7.4203186,5.388626
1386680905053174237,-1.302002,7.3108215,5.438614
1386680905058179119,-1.3127136,7.326294,5.3898163
1386680905063214520,-1.2924805,7.3619995,5.395767
1386680905068280438,-1.3043823,7.3810425,5.336258
1386680905073285320,-1.2924805,7.3953247,5.2957916
1386680905078351238,-1.3258057,7.4274597,5.2493744
1386680905083356121,-1.3091431,7.4274597,5.201767
1386680905088391522,-1.3400879,7.448883,5.213669
1386680905093426922,-1.2889099,7.397705,5.239853
1386680905098462322,-1.3139038,7.3881836,5.406479
1386680905103528240,-1.3936462,7.384613,5.4374237
1386680905108533123,-1.411499,7.4203186,5.594528
1386680905113568524,-1.3615112,7.4143677,5.6409454
1386680905118634442,-1.3317566,7.396515,5.739731
1386680905123639324,-1.3353271,7.416748,5.7682953
1386680905128674725,-1.3567505,7.397705,5.8397064
1386680905133710125,-1.3674622,7.396515,5.8147125
1386680905138745526,-1.3198547,7.421509,5.752823
1386680905143780926,-1.2401123,7.383423,5.5885773
1386680905148816326,-1.2436829,7.448883,5.658798
1386680905153882244,-1.2972412,7.421509,5.5957184
1386680905158887127,-1.2853394,7.4012756,5.587387
1386680905163922528,-1.302002,7.4012756,5.5016937
1386680905168988445,-1.3031921,7.4964905,5.438614
1386680905173993328,-1.2841492,7.42984,5.6076202
1386680905179028729,-1.3269958,7.454834,5.5707245
1386680905184064129,-1.3781738,7.415558,5.6421356
1386680905189099529,-1.3388977,7.332245,5.6611786
1386680905194134930,-1.2853394,7.409607,5.5778656
1386680905199231365,-1.3186646,7.423889,5.5243073
1386680905204236248,-1.3043823,7.416748,5.574295
1386680905209241131,-1.2627258,7.4572144,5.47908
1386680905214276531,-1.2615356,7.4084167,5.4695587
1386680905219311932,-1.3222351,7.4334106,5.495743
1386680905224347332,-1.3174744,7.383423,5.4481354
1386680905229382733,-1.3067627,7.3762817,5.4540863
1386680905234418133,-1.3210449,7.4524536,5.394577
1386680905239453533,-1.3412781,7.403656,5.3588715
1386680905244488934,-1.2924805,7.422699,5.4683685
1386680905249524334,-1.334137,7.3822327,5.362442
1386680905254590252,-1.2710571,7.385803,5.431473
1386680905259595135,-1.3043823,7.4072266,5.4112396
1386680905264630535,-1.2734375,7.4274597,5.427902
1386680905269696453,-1.3448486,7.3560486,5.4886017
1386680905274701336,-1.3579407,7.4131775,5.5457306
1386680905279736737,-1.4245911,7.454834,5.5957184
1386680905284772137,-1.4138794,7.4976807,5.688553
1386680905289807537,-1.385315,7.4500732,5.7171173
1386680905294842938,-1.2877197,7.434601,5.7123566
1386680905299878338,-1.2996216,7.3631897,5.6980743
1386680905304944256,-1.2901001,7.3608093,5.7373505
1386680905309949139,-1.263916,7.385803,5.708786
1386680905314984539,-1.3186646,7.3869934,5.638565
1386680905320050457,-1.3115234,7.3750916,5.6492767
1386680905325055340,-1.302002,7.383423,5.4671783
1386680905330090740,-1.3293762,7.4072266,5.631424
1386680905335126141,-1.2627258,7.441742,5.485031
1386680905340161541,-1.2234497,7.396515,5.536209
1386680905345196942,-1.1710815,7.3750916,5.4564667
1386680905350262860,-1.2282104,7.42984,5.5338287
1386680905355298260,-1.2222595,7.397705,5.356491
1386680905360303143,-1.2496338,7.4143677,5.5266876
1386680905365338543,-1.2686768,7.4119873,5.5005035
1386680905370373944,-1.2877197,7.397705,5.4493256
1386680905375409344,-1.2555847,7.391754,5.4993134
1386680905380444744,-1.2543945,7.353668,5.463608
1386680905385480145,-1.2889099,7.3929443,5.579056
1386680905390515545,-1.2865295,7.383423,5.498123
1386680905395550945,-1.3008118,7.421509,5.483841
1386680905400586346,-1.347229,7.4393616,5.5457306
1386680905405621746,-1.4150696,7.389374,5.575485
1386680905410657147,-1.3734131,7.3798523,5.574295
1386680905415692547,-1.3079529,7.397705,5.5576324
1386680905420727947,-1.3079529,7.3548584,5.6742706
1386680905425763348,-1.328186,7.436981,5.54216
1386680905430798748,-1.2781982,7.397705,5.60524
1386680905435834149,-1.3162842,7.3988953,5.54335
1386680905440869549,-1.3162842,7.4084167,5.580246
1386680905445904949,-1.2936707,7.436981,5.5647736
1386680905450940350,-1.2924805,7.4084167,5.592148
1386680905456006268,-1.2686768,7.421509,5.5766754
1386680905461011151,-1.3627014,7.346527,5.6421356
1386680905466046551,-1.3031921,7.409607,5.6219025
1386680905471112469,-1.2710571,7.352478,5.560013
1386680905476117352,-1.2793884,7.4381714,5.624283
1386680905481152752,-1.2305908,7.357239,5.761154
1386680905486218670,-1.3115234,7.3239136,5.632614
1386680905491223553,-1.2877197,7.353668,5.6361847
1386680905496258953,-1.250824,7.3619995,5.630234
1386680905501324871,-1.3400879,7.371521,5.657608
1386680905506360272,-1.3103333,7.397705,5.575485
1386680905511365154,-1.3139038,7.384613,5.5314484
1386680905516400555,-1.2484436,7.4322205,5.549301
1386680905521466473,-1.2781982,7.403656,5.5850067
1386680905526471356,-1.2793884,7.4143677,5.504074
